Wall time,Step,Value
1767376783.0317025,1200,0.08347976952791214
1767376822.5765476,2400,0.5565162897109985
1767376878.1091628,3600,0.4063062369823456
1767376946.5366433,4800,0.10333581268787384
1767376960.5692682,5000,0.38245153427124023
1767377019.3105657,6000,0.06530299782752991
1767377074.95525,7200,0.03508037328720093
1767377116.1930833,8400,0.03235321491956711
1767377201.5785394,9600,0.026171192526817322
1767377230.3414311,10000,0.05668777599930763
1767377269.1102402,10800,0.024007387459278107
1767377330.3733957,12000,0.013328269124031067
1767377371.334764,13200,0.013800855726003647
1767377411.4529433,14400,0.007589796558022499
1767377432.6967826,15000,0.0058927154168486595
1767377449.4580953,15600,0.006853057071566582
1767377497.1017141,16800,0.004077715799212456
1767377536.5304346,18000,0.003556095529347658
1767377576.6637325,19200,0.0029245740734040737
1767377605.8173735,20000,0.003074388951063156
1767377616.5155253,20400,0.0023765426594763994
1767377649.7972388,21600,0.002538715023547411
1767377686.4048445,22800,0.0021039345301687717
1767377722.051343,24000,0.0024395999498665333
1767377758.7164156,25000,0.0015870851930230856
1767377765.2020397,25200,0.0017836757469922304
1767377802.7932854,26400,0.0019892293494194746
1767377841.5456803,27600,0.0014514023205265403
1767377888.555418,28800,0.0013342739548534155
1767377925.8441145,30000,0.0009411157807335258
1767377963.304899,31200,0.0007291635265573859
1767378011.7068474,32400,0.0005280160112306476
1767378050.307339,33600,0.00047126825666055083
1767378086.2003772,34800,0.0004267578187864274
1767378094.8043444,35000,0.0005384396645240486
1767378126.7517073,36000,0.00045047461753711104
1767378163.9709706,37200,0.00035486018168739974
1767378202.1804864,38400,0.0003556758747436106
1767378234.751083,39600,0.00033620453905314207
1767378248.5027094,40000,0.00048700094339437783
1767378281.204917,40800,0.00035734084667637944
1767378329.1197505,42000,0.00041257013799622655
1767378360.597742,43200,0.0003099612076766789
1767378392.811702,44400,0.000354099232936278
1767378410.4188693,45000,0.0003346192534081638
1767378426.9142413,45600,0.00030073855305090547
1767378459.4053159,46800,0.0003247932472731918
1767378491.8187401,48000,0.0004387191729620099
1767378532.7785265,49200,0.00039739866042509675
1767378559.3853352,50000,0.0003738272935152054
1767378572.047562,50400,0.0004612525808624923
1767378610.8829105,51600,0.0003806122113019228
1767378648.476278,52800,0.00028928444953635335
1767378686.0839605,54000,0.0005110586062073708
1767378719.1056936,55000,0.0004002732166554779
1767378725.6940908,55200,0.0005457680090330541
1767378764.0327823,56400,0.00043247599387541413
1767378801.786246,57600,0.00045577797573059797
1767378839.6864092,58800,0.00038956940989010036
1767378879.2067428,60000,0.00036753196036443114
1767378918.7759216,61200,0.0004313871031627059
1767378957.0414577,62400,0.0005881878896616399
1767378995.5508351,63600,0.0005115282256156206
1767379034.5442164,64800,0.00047203866415657103
1767379042.5029511,65000,0.00047913030721247196
1767379074.7041845,66000,0.00048374116886407137
1767379113.7109888,67200,0.0005319472402334213
1767379152.8258648,68400,0.0005912559572607279
1767379191.477937,69600,0.0005722332862205803
1767379205.434597,70000,0.0005700731999240816
1767379231.3647907,70800,0.0006455299444496632
1767379269.9488473,72000,0.0006285400595515966
1767379309.3850236,73200,0.0006127209635451436
1767379348.2819088,74400,0.0005162585875950754
1767379368.8623629,75000,0.0005593583919107914
1767379388.421977,75600,0.0006454401882365346
1767379427.0761483,76800,0.0006657877820543945
1767379466.5067925,78000,0.0005443081026896834
1767379506.2157664,79200,0.0006669998983852565
1767379534.5424569,80000,0.0005942479474470019
1767379547.7224934,80400,0.0006102157640270889
1767379586.9738195,81600,0.0006379808182828128
1767379626.442828,82800,0.0006732664769515395
1767379665.546131,84000,0.000575419282540679
1767379699.7731664,85000,0.0006856736727058887
1767379706.2720196,85200,0.0006533937994390726
1767379745.5800152,86400,0.0005948050529696047
1767379784.2273197,87600,0.0007112594321370125
1767379823.6760309,88800,0.0006787609308958054
1767379864.264986,90000,0.0005818601930513978
1767379906.9234543,91200,0.0005992596270516515
1767379949.3091614,92400,0.0007077511982060969
1767379997.4145868,93600,0.0007155355997383595
1767380046.8091724,94800,0.000583664805162698
1767380055.2400565,95000,0.0005802491796202958
1767380091.0808613,96000,0.0005375728942453861
1767380136.6225007,97200,0.0005954847438260913
1767380181.4753163,98400,0.0007270858623087406
1767380224.9217799,99600,0.0005928813479840755
1767380237.2523336,100000,0.000609011622145772
